game_id,game_date,home_team,away_team,period,clock,full_clock,team,player,event,x_coordinate,y_coordinate,x_coordinate_adv,y_coordinate_adv,player_2,x_coordinate_2,y_coordinate_2,x_coordinate_adv_2,y_coordinate_adv_2,detail_1,detail_2,detail_3,detail_4,rev_period,home_team_skaters,away_team_skaters,is_5v4,is_fo,is_5on5,is_in_att_zone,whos_attacking,adv_team,skater_adv_segment,play_segment,event_no,starts_with_oz_fo,wont_leave_zone
18657Toronto SixMinnesota Whitecaps,2021-01-30,Toronto Six,Minnesota Whitecaps,2,1171,2371,Toronto Six,Emma Greco,Puck Recovery,25,79,175,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,5,TRUE,FALSE,FALSE,TRUE,Minnesota Whitecaps,Minnesota Whitecaps,180,1,2,TRUE,TRUE
18659Buffalo BeautsBoston Pride,2021-02-01,Buffalo Beauts,Boston Pride,2,1171,2371,Boston Pride,Mallory Souliotis,Play,128,23,128,23,Kaleigh Fratkin,132,63,132,63,Direct,NA,NA,NA,2,4,5,TRUE,FALSE,FALSE,TRUE,Boston Pride,Boston Pride,196,1,4,TRUE,TRUE
18000Olympic (Women) - FinlandOlympic (Women) - United States,2019-04-14,Olympic (Women) - Finland,Olympic (Women) - United States,2,1171,2371,Olympic (Women) - United States,Lee Stecklein,Dump In/Out,6,58,194,27,NA,NA,NA,NA,NA,Lost,NA,NA,NA,2,5,4,TRUE,FALSE,FALSE,TRUE,Olympic (Women) - Finland,Olympic (Women) - Finland,92,1,4,TRUE,TRUE
18653Toronto SixBoston Pride,2021-01-26,Toronto Six,Boston Pride,3,1170,1170,Toronto Six,Natalie Marcuzzi,Faceoff Win,31,65,169,20,Tereza Vanisova,NA,NA,NA,NA,Forehand,NA,NA,NA,1,4,5,TRUE,TRUE,FALSE,TRUE,Boston Pride,Boston Pride,149,1,1,TRUE,TRUE
18000Olympic (Women) - FinlandOlympic (Women) - United States,2019-04-14,Olympic (Women) - Finland,Olympic (Women) - United States,2,1170,2370,Olympic (Women) - Finland,Jenni Hiirikoski,Puck Recovery,141,7,141,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,4,TRUE,FALSE,FALSE,TRUE,Olympic (Women) - Finland,Olympic (Women) - Finland,92,1,5,TRUE,TRUE
18653Toronto SixBoston Pride,2021-01-26,Toronto Six,Boston Pride,3,1169,1169,Toronto Six,Emma Greco,Puck Recovery,28,69,172,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,5,TRUE,FALSE,FALSE,TRUE,Boston Pride,Boston Pride,149,1,2,TRUE,TRUE
18657Toronto SixMinnesota Whitecaps,2021-01-30,Toronto Six,Minnesota Whitecaps,2,1169,2369,Toronto Six,Emma Greco,Incomplete Play,16,75,184,10,Mackenzie MacNeil,46,3,154,82,Indirect,NA,NA,NA,2,4,5,TRUE,FALSE,FALSE,TRUE,Minnesota Whitecaps,Minnesota Whitecaps,180,1,3,TRUE,TRUE
18659Buffalo BeautsBoston Pride,2021-02-01,Buffalo Beauts,Boston Pride,2,1169,2369,Boston Pride,Kaleigh Fratkin,Play,131,56,131,56,Mallory Souliotis,136,21,136,21,Direct,NA,NA,NA,2,4,5,TRUE,FALSE,FALSE,TRUE,Boston Pride,Boston Pride,196,1,5,TRUE,TRUE
17573Olympic (Women) - CanadaOlympic (Women) - Olympic Athletes from Russia,2018-02-11,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,3,1169,1169,Olympic (Women) - Canada,Brianne Jenner,Play,146,4,146,4,Jennifer Wakefield,165,29,165,29,Direct,NA,NA,NA,1,5,4,TRUE,FALSE,FALSE,TRUE,Olympic (Women) - Canada,Olympic (Women) - Canada,7,3,4,TRUE,TRUE
17573Olympic (Women) - CanadaOlympic (Women) - Olympic Athletes from Russia,2018-02-11,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,3,1168,1168,Olympic (Women) - Canada,Jennifer Wakefield,Shot,165,29,165,29,NA,NA,NA,NA,NA,Deflection,On Net,FALSE,TRUE,1,5,4,TRUE,FALSE,FALSE,TRUE,Olympic (Women) - Canada,Olympic (Women) - Canada,7,3,5,TRUE,TRUE
18653Toronto SixBoston Pride,2021-01-26,Toronto Six,Boston Pride,3,1167,1167,Boston Pride,Taylor Wenczkowski,Takeaway,198,33,198,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,5,TRUE,FALSE,FALSE,TRUE,Boston Pride,Boston Pride,149,1,3,TRUE,TRUE
18653Toronto SixBoston Pride,2021-01-26,Toronto Six,Boston Pride,3,1167,1167,Boston Pride,Taylor Wenczkowski,Incomplete Play,198,33,198,33,Tereza Vanisova,180,2,180,2,Indirect,NA,NA,NA,1,4,5,TRUE,FALSE,FALSE,TRUE,Boston Pride,Boston Pride,149,1,4,TRUE,TRUE
17573Olympic (Women) - CanadaOlympic (Women) - Olympic Athletes from Russia,2018-02-11,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,3,1167,1167,Olympic (Women) - Olympic Athletes from Russia,Anna Shokhina,Puck Recovery,20,41,180,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,4,TRUE,FALSE,FALSE,TRUE,Olympic (Women) - Canada,Olympic (Women) - Canada,7,3,6,TRUE,TRUE
18657Toronto SixMinnesota Whitecaps,2021-01-30,Toronto Six,Minnesota Whitecaps,2,1166,2366,Minnesota Whitecaps,Sydney Baldwin,Puck Recovery,131,83,131,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,5,TRUE,FALSE,FALSE,TRUE,Minnesota Whitecaps,Minnesota Whitecaps,180,1,4,TRUE,TRUE
18659Buffalo BeautsBoston Pride,2021-02-01,Buffalo Beauts,Boston Pride,2,1166,2366,Boston Pride,Mallory Souliotis,Play,151,17,151,17,McKenna Brand,161,74,161,74,Direct,NA,NA,NA,2,4,5,TRUE,FALSE,FALSE,TRUE,Boston Pride,Boston Pride,196,1,6,TRUE,TRUE
17573Olympic (Women) - CanadaOlympic (Women) - Olympic Athletes from Russia,2018-02-11,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,3,1166,1166,Olympic (Women) - Olympic Athletes from Russia,Anna Shokhina,Dump In/Out,22,26,178,59,NA,NA,NA,NA,NA,Lost,NA,NA,NA,1,5,4,TRUE,FALSE,FALSE,TRUE,Olympic (Women) - Canada,Olympic (Women) - Canada,7,3,7,TRUE,FALSE
17944Olympic (Women) - United StatesOlympic (Women) - Canada,2019-02-17,Olympic (Women) - United States,Olympic (Women) - Canada,3,1166,1166,Olympic (Women) - United States,Alex Carpenter,Faceoff Win,31,21,169,64,Blayre Turnbull,NA,NA,NA,NA,Backhand,NA,NA,NA,1,4,5,TRUE,TRUE,FALSE,TRUE,Olympic (Women) - Canada,Olympic (Women) - Canada,69,2,1,TRUE,TRUE
18000Olympic (Women) - FinlandOlympic (Women) - United States,2019-04-14,Olympic (Women) - Finland,Olympic (Women) - United States,2,1166,2366,Olympic (Women) - Finland,Jenni Hiirikoski,Play,138,17,138,17,Michelle Karvinen,136,78,136,78,Direct,NA,NA,NA,2,5,4,TRUE,FALSE,FALSE,TRUE,Olympic (Women) - Finland,Olympic (Women) - Finland,92,1,6,TRUE,TRUE
17944Olympic (Women) - United StatesOlympic (Women) - Canada,2019-02-17,Olympic (Women) - United States,Olympic (Women) - Canada,3,1165,1165,Olympic (Women) - United States,Lee Stecklein,Puck Recovery,12,13,188,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,5,TRUE,FALSE,FALSE,TRUE,Olympic (Women) - Canada,Olympic (Women) - Canada,69,2,2,TRUE,TRUE
17944Olympic (Women) - United StatesOlympic (Women) - Canada,2019-02-17,Olympic (Women) - United States,Olympic (Women) - Canada,3,1165,1165,Olympic (Women) - United States,Lee Stecklein,Play,12,13,188,72,Shelly Picard,5,30,195,55,Direct,NA,NA,NA,1,4,5,TRUE,FALSE,FALSE,TRUE,Olympic (Women) - Canada,Olympic (Women) - Canada,69,2,3,TRUE,TRUE
18657Toronto SixMinnesota Whitecaps,2021-01-30,Toronto Six,Minnesota Whitecaps,2,1164,2364,Minnesota Whitecaps,Sydney Baldwin,Play,138,80,138,80,Meghan Lorence,148,78,148,78,Indirect,NA,NA,NA,2,4,5,TRUE,FALSE,FALSE,TRUE,Minnesota Whitecaps,Minnesota Whitecaps,180,1,5,TRUE,TRUE
18653Toronto SixBoston Pride,2021-01-26,Toronto Six,Boston Pride,3,1163,1163,Boston Pride,Mallory Souliotis,Puck Recovery,141,5,141,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,5,TRUE,FALSE,FALSE,TRUE,Boston Pride,Boston Pride,149,1,5,TRUE,TRUE
18659Buffalo BeautsBoston Pride,2021-02-01,Buffalo Beauts,Boston Pride,2,1163,2363,Boston Pride,McKenna Brand,Play,153,55,153,55,Jillian Dempsey,178,66,178,66,Direct,NA,NA,NA,2,4,5,TRUE,FALSE,FALSE,TRUE,Boston Pride,Boston Pride,196,1,7,TRUE,TRUE
17944Olympic (Women) - United StatesOlympic (Women) - Canada,2019-02-17,Olympic (Women) - United States,Olympic (Women) - Canada,3,1163,1163,Olympic (Women) - United States,Shelly Picard,Incomplete Play,4,43,196,42,Brianna Decker,39,65,161,20,Direct,NA,NA,NA,1,4,5,TRUE,FALSE,FALSE,TRUE,Olympic (Women) - Canada,Olympic (Women) - Canada,69,2,4,TRUE,TRUE
18000Olympic (Women) - FinlandOlympic (Women) - United States,2019-04-14,Olympic (Women) - Finland,Olympic (Women) - United States,2,1163,2363,Olympic (Women) - Finland,Michelle Karvinen,Play,148,73,148,73,Jenni Hiirikoski,135,41,135,41,Direct,NA,NA,NA,2,5,4,TRUE,FALSE,FALSE,TRUE,Olympic (Women) - Finland,Olympic (Women) - Finland,92,1,7,TRUE,TRUE
18653Toronto SixBoston Pride,2021-01-26,Toronto Six,Boston Pride,3,1162,1162,Boston Pride,Mallory Souliotis,Play,141,0,141,0,Kaleigh Fratkin,134,51,134,51,Direct,NA,NA,NA,1,4,5,TRUE,FALSE,FALSE,TRUE,Boston Pride,Boston Pride,149,1,6,TRUE,FALSE
18657Toronto SixMinnesota Whitecaps,2021-01-30,Toronto Six,Minnesota Whitecaps,2,1162,2362,Minnesota Whitecaps,Meghan Lorence,Play,148,71,148,71,Stephanie Anderson,149,57,149,57,Direct,NA,NA,NA,2,4,5,TRUE,FALSE,FALSE,TRUE,Minnesota Whitecaps,Minnesota Whitecaps,180,1,6,TRUE,TRUE
18659Buffalo BeautsBoston Pride,2021-02-01,Buffalo Beauts,Boston Pride,2,1161,2361,Boston Pride,Jillian Dempsey,Play,171,71,171,71,Kaleigh Fratkin,130,52,130,52,Direct,NA,NA,NA,2,4,5,TRUE,FALSE,FALSE,TRUE,Boston Pride,Boston Pride,196,1,8,TRUE,TRUE
18000Olympic (Women) - FinlandOlympic (Women) - United States,2019-04-14,Olympic (Women) - Finland,Olympic (Women) - United States,2,1161,2361,Olympic (Women) - Finland,Jenni Hiirikoski,Play,131,39,131,39,Noora Tulus,147,27,147,27,Direct,NA,NA,NA,2,5,4,TRUE,FALSE,FALSE,TRUE,Olympic (Women) - Finland,Olympic (Women) - Finland,92,1,8,TRUE,TRUE
18659Buffalo BeautsBoston Pride,2021-02-01,Buffalo Beauts,Boston Pride,2,1160,2360,Boston Pride,Kaleigh Fratkin,Incomplete Play,130,52,130,52,Mallory Souliotis,158,17,158,17,Indirect,NA,NA,NA,2,4,5,TRUE,FALSE,FALSE,TRUE,Boston Pride,Boston Pride,196,1,9,TRUE,TRUE
17573Olympic (Women) - CanadaOlympic (Women) - Olympic Athletes from Russia,2018-02-11,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,3,1160,1160,Olympic (Women) - Canada,Ann-Renee Desbiens,Puck Recovery,2,41,2,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,4,TRUE,FALSE,FALSE,FALSE,Olympic (Women) - Olympic Athletes from Russia,Olympic (Women) - Canada,7,3,8,TRUE,FALSE
17573Olympic (Women) - CanadaOlympic (Women) - Olympic Athletes from Russia,2018-02-11,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,3,1160,1160,Olympic (Women) - Canada,Ann-Renee Desbiens,Play,2,41,2,41,Brigette Lacquette,2,41,2,41,Indirect,NA,NA,NA,1,5,4,TRUE,FALSE,FALSE,FALSE,Olympic (Women) - Olympic Athletes from Russia,Olympic (Women) - Canada,7,3,9,TRUE,FALSE
17944Olympic (Women) - United StatesOlympic (Women) - Canada,2019-02-17,Olympic (Women) - United States,Olympic (Women) - Canada,3,1160,1160,Olympic (Women) - Canada,Jamie Lee Rattray,Puck Recovery,196,45,196,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,5,TRUE,FALSE,FALSE,TRUE,Olympic (Women) - Canada,Olympic (Women) - Canada,69,2,5,TRUE,TRUE
17944Olympic (Women) - United StatesOlympic (Women) - Canada,2019-02-17,Olympic (Women) - United States,Olympic (Women) - Canada,3,1160,1160,Olympic (Women) - Canada,Jamie Lee Rattray,Play,196,45,196,45,Erin Ambrose,166,80,166,80,Indirect,NA,NA,NA,1,4,5,TRUE,FALSE,FALSE,TRUE,Olympic (Women) - Canada,Olympic (Women) - Canada,69,2,6,TRUE,TRUE
18000Olympic (Women) - FinlandOlympic (Women) - United States,2019-04-14,Olympic (Women) - Finland,Olympic (Women) - United States,2,1160,2360,Olympic (Women) - Finland,Noora Tulus,Play,147,27,147,27,Jenni Hiirikoski,131,59,131,59,Direct,NA,NA,NA,2,5,4,TRUE,FALSE,FALSE,TRUE,Olympic (Women) - Finland,Olympic (Women) - Finland,92,1,9,TRUE,TRUE
18000Olympic (Women) - FinlandOlympic (Women) - United States,2019-04-14,Olympic (Women) - Finland,Olympic (Women) - United States,2,1159,2359,Olympic (Women) - Finland,Jenni Hiirikoski,Shot,131,59,131,59,NA,NA,NA,NA,NA,Slapshot,Blocked,TRUE,TRUE,2,5,4,TRUE,FALSE,FALSE,TRUE,Olympic (Women) - Finland,Olympic (Women) - Finland,92,1,10,TRUE,TRUE
18653Toronto SixBoston Pride,2021-01-26,Toronto Six,Boston Pride,3,1158,1158,Boston Pride,Kaleigh Fratkin,Play,94,64,94,64,Mallory Souliotis,88,2,88,2,Direct,NA,NA,NA,1,4,5,TRUE,FALSE,FALSE,FALSE,NZ,Boston Pride,149,1,7,TRUE,FALSE
18657Toronto SixMinnesota Whitecaps,2021-01-30,Toronto Six,Minnesota Whitecaps,2,1158,2358,Toronto Six,Emma Greco,Puck Recovery,33,77,167,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,5,TRUE,FALSE,FALSE,TRUE,Minnesota Whitecaps,Minnesota Whitecaps,180,1,7,TRUE,TRUE
18657Toronto SixMinnesota Whitecaps,2021-01-30,Toronto Six,Minnesota Whitecaps,2,1158,2358,Toronto Six,Emma Greco,Dump In/Out,33,77,167,8,NA,NA,NA,NA,NA,Lost,NA,NA,NA,2,4,5,TRUE,FALSE,FALSE,TRUE,Minnesota Whitecaps,Minnesota Whitecaps,180,1,8,TRUE,TRUE
18657Toronto SixMinnesota Whitecaps,2021-01-30,Toronto Six,Minnesota Whitecaps,2,1158,2358,Minnesota Whitecaps,Nina Rodgers,Puck Recovery,152,4,152,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,5,TRUE,FALSE,FALSE,TRUE,Minnesota Whitecaps,Minnesota Whitecaps,180,1,9,TRUE,TRUE
18657Toronto SixMinnesota Whitecaps,2021-01-30,Toronto Six,Minnesota Whitecaps,2,1158,2358,Minnesota Whitecaps,Nina Rodgers,Play,152,4,152,4,Haley Mack,180,4,180,4,Indirect,NA,NA,NA,2,4,5,TRUE,FALSE,FALSE,TRUE,Minnesota Whitecaps,Minnesota Whitecaps,180,1,10,TRUE,TRUE
18659Buffalo BeautsBoston Pride,2021-02-01,Buffalo Beauts,Boston Pride,2,1158,2358,Buffalo Beauts,Lisa Chesson,Puck Recovery,32,53,168,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,5,TRUE,FALSE,FALSE,TRUE,Boston Pride,Boston Pride,196,1,10,TRUE,TRUE
18659Buffalo BeautsBoston Pride,2021-02-01,Buffalo Beauts,Boston Pride,2,1158,2358,Buffalo Beauts,Lisa Chesson,Dump In/Out,32,53,168,32,NA,NA,NA,NA,NA,Lost,NA,NA,NA,2,4,5,TRUE,FALSE,FALSE,TRUE,Boston Pride,Boston Pride,196,1,11,TRUE,FALSE
18000Olympic (Women) - FinlandOlympic (Women) - United States,2019-04-14,Olympic (Women) - Finland,Olympic (Women) - United States,3,1158,1158,Olympic (Women) - United States,Kelly Pannek,Faceoff Win,169,20,169,20,Noora Tulus,NA,NA,NA,NA,Forehand,NA,NA,NA,1,4,5,TRUE,TRUE,FALSE,TRUE,Olympic (Women) - United States,Olympic (Women) - United States,94,3,1,TRUE,TRUE
18000Olympic (Women) - FinlandOlympic (Women) - United States,2019-04-14,Olympic (Women) - Finland,Olympic (Women) - United States,3,1157,1157,Olympic (Women) - United States,Cayla Barnes,Puck Recovery,145,4,145,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,5,TRUE,FALSE,FALSE,TRUE,Olympic (Women) - United States,Olympic (Women) - United States,94,3,2,TRUE,TRUE
18000Olympic (Women) - FinlandOlympic (Women) - United States,2019-04-14,Olympic (Women) - Finland,Olympic (Women) - United States,2,1156,2356,Olympic (Women) - United States,Hilary Knight,Puck Recovery,45,4,155,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,4,TRUE,FALSE,FALSE,TRUE,Olympic (Women) - Finland,Olympic (Women) - Finland,92,1,11,TRUE,FALSE
18653Toronto SixBoston Pride,2021-01-26,Toronto Six,Boston Pride,3,1155,1155,Boston Pride,Mallory Souliotis,Play,64,12,64,12,Kaleigh Fratkin,61,67,61,67,Direct,NA,NA,NA,1,4,5,TRUE,FALSE,FALSE,FALSE,Toronto Six,Boston Pride,149,1,8,TRUE,FALSE
18659Buffalo BeautsBoston Pride,2021-02-01,Buffalo Beauts,Boston Pride,2,1155,2355,Boston Pride,Lovisa Selander,Puck Recovery,2,44,2,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,5,TRUE,FALSE,FALSE,FALSE,Buffalo Beauts,Boston Pride,196,1,12,TRUE,FALSE
17573Olympic (Women) - CanadaOlympic (Women) - Olympic Athletes from Russia,2018-02-11,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,3,1155,1155,Olympic (Women) - Canada,Brigette Lacquette,Play,50,37,50,37,Meghan Agosta,110,79,110,79,Direct,NA,NA,NA,1,5,4,TRUE,FALSE,FALSE,FALSE,Olympic (Women) - Olympic Athletes from Russia,Olympic (Women) - Canada,7,3,10,TRUE,FALSE
18000Olympic (Women) - FinlandOlympic (Women) - United States,2019-04-14,Olympic (Women) - Finland,Olympic (Women) - United States,3,1155,1155,Olympic (Women) - United States,Cayla Barnes,Play,129,29,129,29,Hilary Knight,146,5,146,5,Direct,NA,NA,NA,1,4,5,TRUE,FALSE,FALSE,TRUE,Olympic (Women) - United States,Olympic (Women) - United States,94,3,3,TRUE,TRUE
18000Olympic (Women) - FinlandOlympic (Women) - United States,2019-04-14,Olympic (Women) - Finland,Olympic (Women) - United States,2,1154,2354,Olympic (Women) - United States,Hilary Knight,Incomplete Play,102,5,98,80,Brianna Decker,124,30,76,55,Direct,NA,NA,NA,2,5,4,TRUE,FALSE,FALSE,FALSE,NZ,Olympic (Women) - Finland,92,1,12,TRUE,FALSE
18657Toronto SixMinnesota Whitecaps,2021-01-30,Toronto Six,Minnesota Whitecaps,2,1153,2353,Minnesota Whitecaps,Haley Mack,Shot,195,35,195,35,NA,NA,NA,NA,NA,Snapshot,On Net,FALSE,FALSE,2,4,5,TRUE,FALSE,FALSE,TRUE,Minnesota Whitecaps,Minnesota Whitecaps,180,1,11,TRUE,TRUE
18659Buffalo BeautsBoston Pride,2021-02-01,Buffalo Beauts,Boston Pride,2,1153,2353,Boston Pride,Lovisa Selander,Play,2,44,2,44,Kaleigh Fratkin,2,44,2,44,Direct,NA,NA,NA,2,4,5,TRUE,FALSE,FALSE,FALSE,Buffalo Beauts,Boston Pride,196,1,13,TRUE,FALSE
17573Olympic (Women) - CanadaOlympic (Women) - Olympic Athletes from Russia,2018-02-11,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,3,1153,1153,Olympic (Women) - Canada,Meghan Agosta,Zone Entry,124,79,124,79,Angelina Goncharenko,NA,NA,NA,NA,Carried,NA,NA,NA,1,5,4,TRUE,FALSE,FALSE,FALSE,NZ,Olympic (Women) - Canada,7,3,11,TRUE,FALSE
18000Olympic (Women) - FinlandOlympic (Women) - United States,2019-04-14,Olympic (Women) - Finland,Olympic (Women) - United States,2,1153,2353,Olympic (Women) - Finland,Ronja Savolainen,Puck Recovery,79,63,79,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,4,TRUE,FALSE,FALSE,FALSE,NZ,Olympic (Women) - Finland,92,1,13,TRUE,FALSE
18653Toronto SixBoston Pride,2021-01-26,Toronto Six,Boston Pride,3,1152,1152,Boston Pride,Kaleigh Fratkin,Play,86,80,86,80,Taylor Wenczkowski,101,67,101,67,Direct,NA,NA,NA,1,4,5,TRUE,FALSE,FALSE,FALSE,NZ,Boston Pride,149,1,9,TRUE,FALSE
18657Toronto SixMinnesota Whitecaps,2021-01-30,Toronto Six,Minnesota Whitecaps,2,1152,2352,Toronto Six,Natalie Marcuzzi,Puck Recovery,16,42,184,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,5,TRUE,FALSE,FALSE,TRUE,Minnesota Whitecaps,Minnesota Whitecaps,180,1,12,TRUE,TRUE
18657Toronto SixMinnesota Whitecaps,2021-01-30,Toronto Six,Minnesota Whitecaps,2,1152,2352,Toronto Six,Natalie Marcuzzi,Dump In/Out,16,42,184,43,NA,NA,NA,NA,NA,Lost,NA,NA,NA,2,4,5,TRUE,FALSE,FALSE,TRUE,Minnesota Whitecaps,Minnesota Whitecaps,180,1,13,TRUE,TRUE
18000Olympic (Women) - FinlandOlympic (Women) - United States,2019-04-14,Olympic (Women) - Finland,Olympic (Women) - United States,3,1152,1152,Olympic (Women) - United States,Hilary Knight,Play,148,11,148,11,Kelly Pannek,190,13,190,13,Direct,NA,NA,NA,1,4,5,TRUE,FALSE,FALSE,TRUE,Olympic (Women) - United States,Olympic (Women) - United States,94,3,4,TRUE,TRUE
18653Toronto SixBoston Pride,2021-01-26,Toronto Six,Boston Pride,3,1151,1151,Boston Pride,Taylor Wenczkowski,Zone Entry,124,77,124,77,Emma Greco,NA,NA,NA,NA,Carried,NA,NA,NA,1,4,5,TRUE,FALSE,FALSE,FALSE,NZ,Boston Pride,149,1,10,TRUE,FALSE
18657Toronto SixMinnesota Whitecaps,2021-01-30,Toronto Six,Minnesota Whitecaps,2,1151,2351,Minnesota Whitecaps,Sydney Baldwin,Puck Recovery,135,47,135,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,5,TRUE,FALSE,FALSE,TRUE,Minnesota Whitecaps,Minnesota Whitecaps,180,1,14,TRUE,TRUE
